"N","Zynot","#114488","Enoch","2003.07","2004.07",,,,,,,,,
"N","AnikOS","#333333","Enoch","2011.5.22",,,"http://www.anikos.org/",,,,,,,
"N","Adélie Linux","#333333","Enoch","2016.8.6",,,"http://www.adelielinux.org/",,,,,,,
"N","Adélie Linux (I)","#334466","Enoch","2003.07.01","2008.07.01",,,,,,,,,
"N","Argent","#994411","Enoch","2016.10.01",,,"https://rogentos.ro/",,,,,,,
"N","Porteus Kiosk","#9911FF","Enoch","2012.07.01",,,"http://porteus-kiosk.org/",,,,,,,
"N","Kogaion","#EE4444","Enoch","2014.12.03",,,"https://rogentos.ro/",,,,,,,
"N","exGENT","#11EE66","Enoch","2011.10.10",,,"http://exgent.exton.net/",,,,,,,
"N","Engine Yard Gentoo","#FF3333","Enoch","2009.01.01",,,"https://www.engineyard.com/",,,,,,,
"N","CloverOS","#3333FF","Enoch","2017.06.05",,,"https://gitgud.io/cloveros/cloveros",,,,,,,
"N","Fireball","#FF39C0","Enoch","2009.02.27","2015.03.06",,"http://fireballiso.sourceforge.net/",,,,,,,
"N","PixieLive","#39C0FF","Enoch","2010.08.23","2013.11.08",,"http://pixielive.org/dotclear/index.php?",,,,,,,
"N","Securix","#C0FF39","Enoch","2011.08.25","2015.02.28",,"https://www.securix.org/",,,,,,,
"// N","OccupyOS","#000","Enoch","2011.10.23",,,"http://wiki.gitbrew.org/wikibrew/OccupyOS",,,,,,,
,,,,,,,,,,,,,,
"N","FreeBSD","#ff0000",,"1993.11",,,"https://en.wikipedia.org/wiki/FreeBSD",,,,,,,
,,,,,,,,,,,,,,
"N","Slackware","#000",,"1993.7.16",,,"http://www.slackware.com/",,,,,,,
"N","Stampede","#866846","Slackware","1997.12.4","2002.3.1",,"http://www.stampede.org/",,,,,,,
,,,,,,,,,,,,,,
"#","Connectors",,,,,,,,,,,,,
"#","Leaving 'To When' empty will result in using 'From When' as this value",,,,,,,,,,,,,
"#","From When","From","To When","To","Thickness","Color",,,,,,,,
,,,,,,,,,,,,,,
"C","2002.3","Enoch",,"Ututo","2","#000000",,,,,,,,
"C","2004.11.7","Enoch",,"GoboLinux","1","#000000",,,,,,,,
"C","2008.5.20","Enoch",,"Exherbo","2","#000000",,,,,,,,
"C","2011.9.9","Pentoo",,"Enoch","1","#000000",,,,,,,,
"C","2014.4.16","Pentoo",,"Spike","2","#000000",,,,,,,,
,,,,,,,,,,,,,,
"C","1999.11","FreeBSD",,"Enoch","1","#000000",,,,,,,,
"C","1999.5","Stampede",,"Enoch","1","#000000",,,,,,,,
,,,,,,,,,,,,,,
"#","Domains - TODO: How does these work?",,,,,,,,,,,,,
"#","Distribution","Color","Intensity",,,,,,,,,,,
"#","Slackware","#d3d7cf","22",,,,,,,,,,,
"#","Funtoo","#333399",6,,,,,,,,,,,
,,,,,,,,,,,,,,
"#","Images",,,,,,,,,,,,,
"#","File Path","x Position","y Position",,,,,,,,,,,
"SVG","images/info-connectors.svg","30","200",,,,,,,,,,,
"SVG","images/gentoo.svg","500","0",,,,,,,,
